date,factom,nxt,bitcoin,isPartial
2015-11-25 12:00:00,0,16,47,False
2015-11-25 13:00:00,0,17,44,False
2015-11-25 14:00:00,0,17,48,False
2015-11-25 15:00:00,0,17,47,False
2015-11-25 16:00:00,0,18,49,False
2015-11-25 17:00:00,0,16,44,False
2015-11-25 18:00:00,0,18,50,False
2015-11-25 19:00:00,0,17,55,False
2015-11-25 20:00:00,0,17,54,False
2015-11-25 21:00:00,0,20,59,False
2015-11-25 22:00:00,0,23,60,False
2015-11-25 23:00:00,0,23,54,False
2015-11-26 00:00:00,0,26,66,False
2015-11-26 01:00:00,0,43,65,False
2015-11-26 02:00:00,0,39,64,False
2015-11-26 03:00:00,0,38,66,False
2015-11-26 04:00:00,0,38,61,False
2015-11-26 05:00:00,0,30,61,False
2015-11-26 06:00:00,0,28,52,False
2015-11-26 07:00:00,0,26,46,False
2015-11-26 08:00:00,0,22,49,False
2015-11-26 09:00:00,0,22,49,False
2015-11-26 10:00:00,0,21,50,False
2015-11-26 11:00:00,0,20,54,False
2015-11-26 12:00:00,0,19,57,False
2015-11-26 13:00:00,0,22,60,False
2015-11-26 14:00:00,0,20,50,False
2015-11-26 15:00:00,0,20,51,False
2015-11-26 16:00:00,0,19,49,False
2015-11-26 17:00:00,0,21,52,False
2015-11-26 18:00:00,0,21,57,False
2015-11-26 19:00:00,0,20,55,False
2015-11-26 20:00:00,0,22,58,False
2015-11-26 21:00:00,0,23,57,False
2015-11-26 22:00:00,0,24,66,False
2015-11-26 23:00:00,0,22,59,False
2015-11-27 00:00:00,0,24,59,False
2015-11-27 00:00:00,0,36,89,False
2015-11-27 01:00:00,0,35,84,False
2015-11-27 02:00:00,0,34,83,False
2015-11-27 03:00:00,0,34,86,False
2015-11-27 04:00:00,0,30,80,False
2015-11-27 05:00:00,0,29,75,False
2015-11-27 06:00:00,0,24,72,False
2015-11-27 07:00:00,0,24,74,False
2015-11-27 08:00:00,0,23,80,False
2015-11-27 09:00:00,0,24,73,False
2015-11-27 10:00:00,0,22,71,False
2015-11-27 11:00:00,0,25,74,False
2015-11-27 12:00:00,0,28,69,False
2015-11-27 13:00:00,0,22,86,False
2015-11-27 14:00:00,0,25,69,False
2015-11-27 15:00:00,0,25,70,False
2015-11-27 16:00:00,0,26,72,False
2015-11-27 17:00:00,0,27,71,False
2015-11-27 18:00:00,0,32,71,False
2015-11-27 19:00:00,0,31,84,False
2015-11-27 20:00:00,0,29,78,False
2015-11-27 21:00:00,0,28,82,False
2015-11-27 22:00:00,0,32,97,False
2015-11-27 23:00:00,0,32,87,False
2015-11-28 00:00:00,0,31,88,False
2015-11-28 01:00:00,0,33,86,False
2015-11-28 02:00:00,0,33,89,False
2015-11-28 03:00:00,0,33,85,False
2015-11-28 04:00:00,0,35,84,False
2015-11-28 05:00:00,0,33,83,False
2015-11-28 06:00:00,0,31,76,False
2015-11-28 07:00:00,0,26,70,False
2015-11-28 08:00:00,0,25,69,False
2015-11-28 09:00:00,0,22,64,False
2015-11-28 10:00:00,0,26,66,False
