date,FCT,NXT,BTN,isPartial
2015-08-20 00:00:00,1,17,12,False
2015-08-20 01:00:00,1,14,11,False
2015-08-20 02:00:00,1,14,14,False
2015-08-20 03:00:00,1,14,13,False
2015-08-20 04:00:00,1,12,16,False
2015-08-20 05:00:00,1,9,11,False
2015-08-20 06:00:00,1,8,10,False
2015-08-20 07:00:00,1,7,10,False
2015-08-20 08:00:00,1,7,8,False
2015-08-20 09:00:00,1,6,8,False
2015-08-20 10:00:00,2,7,7,False
2015-08-20 11:00:00,1,7,8,False
2015-08-20 12:00:00,2,7,6,False
2015-08-20 13:00:00,1,7,5,False
2015-08-20 14:00:00,1,7,5,False
2015-08-20 15:00:00,2,7,4,False
2015-08-20 16:00:00,1,8,4,False
2015-08-20 17:00:00,1,8,14,False
2015-08-20 18:00:00,1,7,7,False
2015-08-20 19:00:00,1,8,4,False
2015-08-20 20:00:00,1,8,4,False
2015-08-20 21:00:00,1,9,5,False
2015-08-20 22:00:00,1,10,6,False
2015-08-20 23:00:00,1,10,10,False
2015-08-21 00:00:00,1,11,11,False
2015-08-21 01:00:00,1,13,12,False
2015-08-21 02:00:00,1,10,16,False
2015-08-21 03:00:00,1,9,13,False
2015-08-21 04:00:00,1,9,16,False
2015-08-21 05:00:00,1,7,10,False
2015-08-21 06:00:00,1,7,11,False
2015-08-21 07:00:00,1,6,8,False
2015-08-21 08:00:00,2,6,8,False
2015-08-21 09:00:00,1,6,8,False
2015-08-21 10:00:00,2,6,7,False
2015-08-21 11:00:00,2,6,10,False
2015-08-21 12:00:00,1,7,6,False
2015-08-21 13:00:00,2,7,5,False
2015-08-21 14:00:00,2,7,6,False
2015-08-21 15:00:00,1,7,5,False
2015-08-21 16:00:00,4,8,5,False
2015-08-21 17:00:00,4,8,14,False
2015-08-21 18:00:00,3,8,8,False
2015-08-21 19:00:00,3,8,6,False
2015-08-21 20:00:00,3,9,6,False
2015-08-21 21:00:00,3,9,6,False
2015-08-21 22:00:00,3,10,6,False
2015-08-21 23:00:00,2,11,5,False
2015-08-22 00:00:00,1,11,5,False
2015-08-22 01:00:00,1,12,6,False
2015-08-22 02:00:00,1,11,6,False
2015-08-22 03:00:00,1,11,7,False
2015-08-22 04:00:00,1,12,8,False
2015-08-22 05:00:00,1,10,8,False
2015-08-22 06:00:00,1,10,8,False
2015-08-22 07:00:00,1,8,8,False
2015-08-22 08:00:00,1,8,7,False
2015-08-22 09:00:00,1,8,6,False
2015-08-22 10:00:00,2,9,6,False
2015-08-22 11:00:00,1,9,6,False
2015-08-22 12:00:00,1,11,6,False
2015-08-22 13:00:00,1,11,5,False
2015-08-22 14:00:00,1,12,4,False
2015-08-22 15:00:00,1,14,4,False
2015-08-22 16:00:00,1,16,4,False
2015-08-22 17:00:00,1,17,3,False
2015-08-22 18:00:00,1,18,3,False
2015-08-22 19:00:00,1,21,3,False
2015-08-22 20:00:00,1,26,3,False
2015-08-22 21:00:00,1,33,4,False
2015-08-22 22:00:00,1,50,3,False
2015-08-22 23:00:00,1,73,4,False
2015-08-23 00:00:00,1,100,4,False
2015-08-23 00:00:00,0,68,3,False
2015-08-23 01:00:00,0,100,3,False
2015-08-23 02:00:00,0,88,4,False
2015-08-23 03:00:00,0,81,4,False
2015-08-23 04:00:00,0,60,5,False
2015-08-23 05:00:00,0,45,4,False
2015-08-23 06:00:00,0,38,5,False
2015-08-23 07:00:00,1,33,4,False
2015-08-23 08:00:00,1,30,4,False
2015-08-23 09:00:00,1,27,4,False
2015-08-23 10:00:00,1,27,4,False
2015-08-23 11:00:00,1,28,4,False
2015-08-23 12:00:00,1,27,4,False
2015-08-23 13:00:00,1,25,4,False
2015-08-23 14:00:00,1,25,3,False
2015-08-23 15:00:00,1,25,2,False
2015-08-23 16:00:00,1,24,2,False
2015-08-23 17:00:00,1,25,2,False
2015-08-23 18:00:00,1,23,2,False
2015-08-23 19:00:00,1,22,2,False
2015-08-23 20:00:00,1,23,2,False
2015-08-23 21:00:00,1,25,2,False
2015-08-23 22:00:00,1,26,3,False
2015-08-23 23:00:00,1,22,5,False
2015-08-24 00:00:00,1,19,7,False
2015-08-24 01:00:00,1,25,6,False
2015-08-24 02:00:00,1,18,9,False
2015-08-24 03:00:00,1,17,8,False
2015-08-24 04:00:00,1,12,10,False
2015-08-24 05:00:00,1,11,7,False
2015-08-24 06:00:00,1,8,6,False
2015-08-24 07:00:00,1,7,6,False
2015-08-24 08:00:00,1,7,6,False
2015-08-24 09:00:00,1,7,5,False
2015-08-24 10:00:00,1,7,4,False
2015-08-24 11:00:00,1,7,7,False
2015-08-24 12:00:00,1,7,4,False
2015-08-24 13:00:00,1,7,4,False
2015-08-24 14:00:00,2,7,3,False
2015-08-24 15:00:00,1,8,3,False
2015-08-24 16:00:00,1,8,3,False
2015-08-24 17:00:00,1,9,6,False
2015-08-24 18:00:00,1,8,3,False
2015-08-24 19:00:00,1,8,3,False
2015-08-24 20:00:00,1,9,3,False
